,order,stratification,type,reservoir,do,temp,temp_diff,precip,daylight
246,0,0,0,2,3,1,0,1,2
65,5,1,1,0,4,0,2,4,4
509,4,2,0,3,0,4,4,4,3
126,1,1,0,1,2,1,1,2,0
452,1,2,0,3,2,4,4,0,1
418,0,2,0,3,0,4,4,1,2
449,1,2,0,3,2,3,2,0,0
499,2,2,0,3,0,3,1,0,1
276,1,0,0,2,4,0,2,2,4
437,0,2,0,3,0,3,1,0,1
465,1,2,0,3,0,2,3,1,0
502,4,2,0,3,0,3,3,4,2
137,1,1,0,1,1,0,1,4,0
446,1,2,0,3,0,4,4,1,2
7,0,1,1,0,1,1,1,2,0
562,5,2,0,3,0,2,2,2,1
179,4,1,0,1,3,3,4,2,3
533,4,2,0,3,2,2,3,0,0
245,0,0,0,2,4,1,1,3,3
563,5,2,0,3,0,2,3,1,0
416,0,2,0,3,1,4,4,4,1
536,4,2,0,3,1,0,3,4,0
155,3,1,0,1,1,2,1,0,0
210,5,1,0,1,3,2,4,2,3
185,4,1,0,1,0,2,3,1,3
101,1,1,0,1,1,2,3,3,3
97,0,1,0,1,1,0,1,4,0
20,1,1,1,0,3,2,2,4,3
153,3,1,0,1,0,3,2,1,1
54,4,1,1,0,3,1,0,0,0
30,1,1,1,0,0,2,0,0,0
249,0,0,0,2,4,1,0,3,3
49,4,1,1,0,1,1,1,1,1
100,1,1,0,1,2,4,3,3,1
261,0,0,0,2,3,1,2,4,4
338,4,0,0,2,3,1,1,4,3
367,4,0,0,2,4,0,0,1,2
325,2,0,0,2,0,0,1,0,1
56,4,1,1,0,1,1,1,2,0
144,2,1,0,1,1,4,3,2,2
60,5,1,1,0,2,3,2,1,3
194,4,1,0,1,1,4,4,3,1
376,4,0,0,2,0,1,1,3,3
350,4,0,0,2,4,1,1,1,4
356,4,0,0,2,4,0,2,2,4
6,0,1,1,0,3,2,0,2,2
8,0,1,1,0,0,2,0,0,0
447,1,2,0,3,2,2,3,3,4
506,4,2,0,3,0,4,4,0,2
272,1,0,0,2,4,0,0,0,1
208,5,1,0,1,2,4,2,0,1
517,4,2,0,3,3,2,4,2,4
342,4,0,0,2,3,3,0,2,3
264,1,0,0,2,4,2,2,1,4
167,4,1,0,1,3,3,3,4,3
38,2,1,1,0,1,1,1,2,0
247,0,0,0,2,4,1,1,2,4
412,0,2,0,3,0,1,2,2,1
278,1,0,0,2,3,3,1,1,3
313,2,0,0,2,4,1,0,4,3
299,2,0,0,2,3,0,2,1,4
293,1,0,0,2,0,0,1,0,1
578,5,0,2,4,0,1,0,1,0
336,3,0,0,2,2,3,1,0,2
163,4,1,0,1,1,2,3,3,3
124,1,1,0,1,0,3,3,3,2
154,3,1,0,1,1,1,1,2,0
541,4,2,0,3,3,2,1,2,0
59,4,1,1,0,0,2,1,4,0
526,4,2,0,3,2,2,3,1,4
48,4,1,1,0,4,1,3,4,4
554,5,2,0,3,3,1,4,1,4
512,4,2,0,3,1,4,3,0,1
573,0,0,2,4,3,1,0,4,4
477,1,2,0,3,3,2,1,2,0
279,1,0,0,2,4,3,0,0,2
173,4,1,0,1,3,2,3,3,3
18,1,1,1,0,4,4,3,2,3
55,4,1,1,0,3,2,0,2,2
171,4,1,0,1,2,4,4,1,2
478,1,2,0,3,1,2,1,0,0
181,4,1,0,1,3,2,3,4,0
158,4,1,0,1,2,1,1,2,1
51,4,1,1,0,4,1,3,3,4
271,1,0,0,2,3,4,1,1,4
219,5,1,0,1,0,2,3,1,3
74,0,1,0,1,3,0,0,4,0
4,0,1,1,0,4,1,3,3,4
432,0,2,0,3,2,2,3,0,0
401,5,0,0,2,4,0,1,1,0
322,2,0,0,2,3,1,0,1,3
339,4,0,0,2,4,0,1,0,2
5,0,1,1,0,3,3,3,2,3
141,2,1,0,1,3,0,0,4,0
397,5,0,0,2,4,1,0,3,2
135,1,1,0,1,1,1,1,2,0
303,2,0,0,2,4,0,1,3,4
485,2,2,0,3,0,4,4,0,2
22,1,1,1,0,4,1,3,4,4
436,0,2,0,3,1,4,4,3,1
220,5,1,0,1,0,3,3,3,2
527,4,2,0,3,0,3,3,3,2
120,1,1,0,1,2,1,2,4,3
81,0,1,0,1,1,4,3,3,2
409,5,0,0,2,0,1,2,4,3
283,1,0,0,2,4,0,0,1,4
564,5,2,0,3,2,2,3,1,4
558,5,2,0,3,0,3,4,1,3
160,4,1,0,1,3,2,4,2,3
567,5,2,0,3,2,2,3,0,0
238,0,0,0,2,4,0,0,0,1
301,2,0,0,2,4,0,1,0,2
334,3,0,0,2,4,0,1,3,4
195,4,1,0,1,0,3,4,4,3
191,4,1,0,1,1,4,4,3,2
116,1,1,0,1,2,0,3,1,0
390,5,0,0,2,4,0,2,2,4
553,5,2,0,3,2,0,3,2,0
164,4,1,0,1,1,4,3,2,2
106,1,1,0,1,1,4,3,3,2
426,0,2,0,3,2,0,3,2,0
63,5,1,1,0,1,2,2,4,2
105,1,1,0,1,3,3,3,4,3
428,0,2,0,3,0,3,4,1,3
547,5,2,0,3,2,3,2,0,0
505,4,2,0,3,2,2,4,3,4
364,4,0,0,2,4,1,0,3,2
93,0,1,0,1,1,4,4,3,1
357,4,0,0,2,4,1,1,3,3
417,0,2,0,3,0,4,4,4,3
380,4,0,0,2,3,0,1,4,0
403,5,0,0,2,1,0,2,3,4
198,4,1,0,1,1,2,1,0,0
145,2,1,0,1,2,4,3,1,1
150,3,1,0,1,3,0,0,4,0
39,4,1,1,0,1,4,3,1,2
530,4,2,0,3,2,2,3,1,4
460,1,2,0,3,0,3,4,1,3
253,0,0,0,2,1,0,2,3,4
347,4,0,0,2,4,0,0,4,4
69,5,1,1,0,3,3,3,2,3
2,0,1,1,0,2,3,2,1,3
221,5,1,0,1,1,2,1,2,1
542,4,2,0,3,1,2,1,0,0
146,2,1,0,1,3,0,1,3,0
289,1,0,0,2,0,2,1,2,3
241,0,0,0,2,4,1,0,0,1
362,4,0,0,2,4,0,0,2,4
456,1,2,0,3,3,1,4,1,4
114,1,1,0,1,3,2,4,2,3
330,2,0,0,2,3,0,1,4,0
438,0,2,0,3,3,2,1,2,0
421,0,2,0,3,2,3,2,0,0
176,4,1,0,1,3,2,4,2,3
513,4,2,0,3,2,3,2,0,0
168,4,1,0,1,1,4,3,3,2
385,5,0,0,2,3,4,1,1,4
483,2,2,0,3,0,0,1,4,0
571,5,2,0,3,1,2,2,3,1
498,2,2,0,3,1,4,4,3,1
136,1,1,0,1,1,2,1,0,0
468,1,2,0,3,3,4,4,0,3
254,0,0,0,2,0,2,1,2,3
382,5,0,0,2,2,1,0,1,3
346,4,0,0,2,4,0,0,0,1
514,4,2,0,3,4,3,4,4,4
476,1,2,0,3,0,3,1,0,1
255,0,0,0,2,3,1,0,1,3
232,0,0,0,2,4,0,0,0,0
133,1,1,0,1,0,3,4,4,3
33,2,1,1,0,4,0,2,3,4
88,0,1,0,1,2,3,2,3,1
290,1,0,0,2,3,1,0,1,3
44,4,1,1,0,4,4,3,2,3
341,4,0,0,2,4,0,1,3,4
61,5,1,1,0,2,4,3,1,3
199,4,1,0,1,1,0,1,4,0
369,4,0,0,2,2,3,0,4,2
555,5,2,0,3,2,3,4,1,1
441,0,2,0,3,1,3,2,2,1
540,4,2,0,3,0,3,1,0,1
218,5,1,0,1,2,3,2,3,1
302,2,0,0,2,4,0,0,0,0
297,1,0,0,2,0,1,2,4,3
73,0,1,0,1,2,1,1,2,1
295,1,0,0,2,2,0,0,3,4
35,2,1,1,0,2,3,2,1,3
389,5,0,0,2,4,0,0,2,0
29,1,1,1,0,1,1,1,2,0
484,2,2,0,3,2,2,4,3,4
462,1,2,0,3,2,2,3,1,4
469,1,2,0,3,2,2,3,0,0
309,2,0,0,2,4,0,2,2,4
568,5,2,0,3,2,2,2,2,0
217,5,1,0,1,1,3,3,2,2
27,1,1,1,0,3,1,0,0,0
453,1,2,0,3,3,2,4,2,4
529,4,2,0,3,0,2,3,1,0
156,3,1,0,1,0,3,2,3,1
454,1,2,0,3,1,4,4,2,2
466,1,2,0,3,2,2,3,1,4
138,1,1,0,1,0,3,2,3,1
212,5,1,0,1,2,0,3,1,0
104,1,1,0,1,3,0,1,3,0
471,1,2,0,3,0,3,4,4,4
467,1,2,0,3,0,4,4,4,2
473,1,2,0,3,0,3,2,2,1
215,5,1,0,1,3,2,3,4,0
515,4,2,0,3,2,4,4,0,3
189,4,1,0,1,1,2,2,0,0
214,5,1,0,1,3,4,4,1,1
534,4,2,0,3,2,2,2,2,0
204,5,1,0,1,3,3,4,4,3
234,0,0,0,2,3,3,0,2,3
259,0,0,0,2,0,1,1,3,3
67,5,1,1,0,1,1,1,1,1
24,1,1,1,0,1,4,2,2,1
381,5,0,0,2,4,0,0,4,4
216,5,1,0,1,2,1,2,4,3
300,2,0,0,2,3,1,1,4,3
491,2,2,0,3,2,3,4,1,1
223,5,1,0,1,1,2,2,0,0
129,1,1,0,1,1,4,4,3,2
349,4,0,0,2,4,1,0,0,1
111,1,1,0,1,3,2,3,3,3
166,4,1,0,1,3,0,1,3,0
267,1,0,0,2,4,0,0,4,4
207,5,1,0,1,3,2,3,3,3
40,4,1,1,0,0,4,3,1,2
274,1,0,0,2,3,1,0,4,3
479,1,2,0,3,1,2,2,3,1
79,0,1,0,1,2,4,3,1,1
425,0,2,0,3,1,4,4,2,2
427,0,2,0,3,3,1,4,1,4
327,2,0,0,2,2,0,0,3,4
13,1,1,1,0,0,4,3,1,2
287,1,0,0,2,2,3,0,4,2
326,2,0,0,2,0,1,1,3,3
121,1,1,0,1,1,3,3,2,2
251,0,0,0,2,4,0,1,1,0
228,5,1,0,1,0,3,2,3,1
572,0,0,2,4,0,1,0,1,0
161,4,1,0,1,3,4,4,0,2
83,0,1,0,1,2,4,4,1,2
117,1,1,0,1,3,3,4,2,3
374,4,0,0,2,0,1,0,0,2
