,alg_bloom_num
279,0
199,0
466,0
556,0
724,0
501,0
462,0
404,1
261,1
447,0
111,1
594,1
457,1
432,0
359,0
573,0
561,0
312,0
107,0
600,0
737,0
442,0
593,1
197,0
524,0
68,0
616,0
482,0
613,0
187,0
386,1
299,1
281,0
282,1
194,0
684,0
521,1
224,1
587,0
51,0
713,0
242,1
75,0
219,0
222,0
568,0
626,0
423,0
480,1
4,0
590,0
510,0
248,0
15,0
494,0
572,0
56,0
348,0
433,0
34,0
479,1
170,0
714,0
186,0
463,0
85,1
628,0
451,0
604,0
115,0
757,0
189,1
116,0
538,0
532,1
57,0
360,1
424,0
710,1
745,0
461,0
517,1
560,0
125,0
46,0
256,0
106,0
317,0
733,0
574,0
559,1
518,0
456,0
344,0
665,0
421,1
47,0
157,0
513,0
734,0
234,0
602,0
659,0
218,1
383,0
607,0
195,0
90,1
162,0
246,0
343,0
54,0
512,0
700,1
16,0
382,0
156,0
416,0
43,0
506,0
481,1
546,1
422,0
297,0
305,0
489,0
648,0
145,0
706,0
198,0
622,0
454,1
289,0
660,0
504,0
742,1
492,0
98,1
509,0
443,0
338,0
744,0
303,0
736,0
725,0
636,1
277,0
486,1
321,0
139,0
705,1
323,0
127,0
644,0
620,0
458,0
681,0
448,1
525,0
361,1
201,0
469,0
488,0
591,1
188,0
615,0
657,0
671,0
128,0
686,0
122,0
9,0
647,0
164,0
292,0
719,0
631,0
101,0
526,1
351,0
373,1
59,0
493,0
48,0
683,0
646,0
109,0
529,1
666,0
133,0
239,0
709,1
76,0
223,0
381,0
150,0
625,0
318,0
500,0
578,0
6,0
553,0
311,0
18,0
191,1
413,0
478,0
634,0
280,0
328,1
0,0
60,0
420,0
716,1
652,0
565,0
97,0
544,1
495,0
394,0
339,0
755,0
751,1
269,0
96,0
707,0
551,1
55,1
350,0
723,1
682,1
259,0
39,1
10,0
527,1
304,1
215,0
313,0
298,0
371,0
26,1
576,0
184,0
237,1
376,0
88,0
11,0
741,1
728,0
385,1
268,0
38,0
152,1
79,1
429,0
241,0
249,0
689,0
698,0
345,1
545,1
174,1
735,0
567,0
24,0
161,0
93,0
182,0
760,0
119,0
503,0
262,0
266,0
58,0
315,0
168,0
81,0
522,1
680,0
226,1
687,1
334,1
609,0
221,1
726,0
577,1
664,1
597,1
83,0
92,1
301,0
19,1
185,0
227,1
209,1
333,1
231,0
508,0
428,0
314,0
748,0
238,1
137,0
25,0
595,1
674,0
340,0
61,1
307,0
158,0
523,0
471,0
17,0
67,1
586,0
564,0
112,0
635,0
516,1
702,0
102,1
415,0
487,0
473,0
557,0
643,1
291,0
263,0
251,1
611,0
596,1
1,0
549,0
375,1
711,0
580,0
367,1
402,0
619,0
2,0
95,0
535,1
496,1
629,0
675,1
284,1
211,0
410,0
173,0
287,1
583,0
142,0
412,0
192,1
750,0
401,0
229,0
677,0
217,0
154,0
430,0
403,0
181,1
335,0
630,0
74,0
414,1
435,0
764,0
233,1
20,0
653,0
673,0
589,1
30,0
290,0
252,0
69,0
87,0
114,0
548,0
91,0
465,0
167,0
407,1
320,0
763,1
585,0
77,0
566,0
531,0
598,0
257,0
255,1
497,1
130,0
100,0
171,0
712,0
668,0
453,0
727,0
200,0
202,0
455,1
633,0
136,0
520,1
569,1
378,1
270,0
606,0
63,0
393,0
70,0
534,1
271,0
543,0
160,0
667,0
169,0
36,0
243,1
82,0
260,0
372,1
22,0
337,0
308,0
738,1
507,0
220,1
13,0
731,0
584,0
511,0
177,0
276,0
547,0
476,0
225,0
632,0
216,0
29,0
180,1
459,0
696,0
638,0
746,0
474,0
264,0
64,0
704,0
214,1
717,0
703,0
175,1
398,1
172,0
332,1
32,0
31,0
235,0
374,0
397,1
408,1
685,0
418,0
389,0
729,0
550,1
265,0
14,0
94,0
528,0
391,1
78,0
603,1
387,0
183,0
449,0
380,1
491,0
190,1
754,1
621,0
364,0
135,0
245,1
274,0
147,0
105,0
294,0
324,0
539,0
691,0
676,0
110,0
5,0
144,0
103,1
210,0
446,0
41,0
362,0
649,0
377,0
254,1
146,0
637,0
86,1
542,0
431,0
65,0
715,0
205,0
44,0
27,0
80,0
437,1
113,0
204,0
519,0
720,0
670,0
624,0
411,0
743,1
740,1
8,0
73,1
400,0
118,0
701,0
206,1
