,do_cat
279,0
199,1
466,1
556,0
724,0
501,1
462,0
404,0
261,0
447,1
111,1
594,0
457,1
432,0
359,0
573,1
561,1
312,1
107,1
600,1
737,0
442,0
593,0
197,0
524,1
68,0
616,1
482,0
613,0
187,0
386,1
299,0
281,1
282,0
194,1
684,0
521,0
224,0
587,0
51,0
713,0
242,0
75,0
219,0
222,1
568,1
626,0
423,1
480,0
4,1
590,1
510,0
248,0
15,0
494,1
572,0
56,0
348,1
433,0
34,0
479,0
170,0
714,0
186,0
463,0
85,1
628,0
451,1
604,0
115,1
757,1
189,0
116,0
538,0
532,1
57,0
360,1
424,1
710,0
745,0
461,0
517,0
560,0
125,1
46,0
256,0
106,1
317,1
733,0
574,0
559,0
518,0
456,0
344,1
665,0
421,0
47,1
157,0
513,1
734,0
234,1
602,0
659,0
218,0
383,1
607,0
195,1
90,1
162,0
246,1
343,1
54,1
512,1
700,0
16,0
382,1
156,0
416,1
43,1
506,1
481,0
546,0
422,1
297,0
305,0
489,1
648,0
145,1
706,0
198,0
622,0
454,1
289,1
660,0
504,0
742,0
492,0
98,0
509,0
443,0
338,0
744,0
303,0
736,0
725,0
636,0
277,0
486,0
321,0
139,0
705,0
323,1
127,0
644,0
620,0
458,1
681,0
448,0
525,1
361,0
201,0
469,0
488,0
591,0
188,1
615,0
657,0
671,0
128,0
686,0
122,0
9,0
647,0
164,0
292,0
719,0
631,0
101,1
526,1
351,0
373,1
59,1
493,0
48,1
683,0
646,0
109,0
529,0
666,0
133,0
239,0
709,0
76,1
223,1
381,1
150,0
625,0
318,1
500,0
578,1
6,1
553,0
311,1
18,1
191,0
413,1
478,0
634,0
280,1
328,1
0,1
60,1
420,0
716,0
652,0
565,0
97,1
544,0
495,1
394,1
339,0
755,0
751,0
269,0
96,1
707,0
551,0
55,0
350,0
723,0
682,0
259,1
39,0
10,0
527,0
304,0
215,1
313,1
298,0
371,1
26,0
576,0
184,1
237,0
376,1
88,1
11,1
741,0
728,0
385,1
268,0
38,0
152,0
79,1
429,1
241,1
249,0
689,0
698,0
345,1
545,0
174,0
735,0
567,1
24,1
161,1
93,1
182,0
760,0
119,1
503,0
262,0
266,0
58,1
315,0
168,0
81,0
522,0
680,0
226,0
687,0
334,0
609,0
221,0
726,0
577,0
664,0
597,0
83,1
92,0
301,1
19,1
185,0
227,0
209,0
333,1
231,1
508,1
428,1
314,0
748,0
238,0
137,1
25,1
595,0
674,0
340,1
61,0
307,1
158,0
523,0
471,1
17,1
67,0
586,0
564,0
112,1
635,0
516,0
702,0
102,1
415,0
487,0
473,0
557,0
643,0
291,0
263,0
251,0
611,1
596,0
1,1
549,1
375,1
711,0
580,0
367,0
402,0
619,0
2,1
95,1
535,0
496,0
629,0
675,0
284,0
211,1
410,1
173,0
287,0
583,0
142,1
412,1
192,1
750,0
401,1
229,1
677,0
217,1
154,1
430,1
403,0
181,0
335,1
630,0
74,0
414,1
435,1
764,0
233,0
20,1
653,0
673,0
589,0
30,1
290,0
252,1
69,0
87,1
114,1
548,0
91,0
465,1
167,1
407,0
320,0
763,0
585,1
77,1
566,1
531,1
598,0
257,0
255,0
497,0
130,1
100,1
171,0
712,0
668,0
453,1
727,0
200,1
202,0
455,0
633,0
136,1
520,1
569,0
378,1
270,1
606,0
63,1
393,1
70,1
534,0
271,1
543,1
160,1
667,0
169,0
36,1
243,0
82,1
260,0
372,1
22,1
337,1
308,1
738,0
507,1
220,0
13,1
731,0
584,1
511,1
177,1
276,1
547,0
476,1
225,0
632,0
216,1
29,1
180,0
459,1
696,0
638,0
746,0
474,0
264,1
64,1
704,0
214,0
717,0
703,0
175,0
398,1
172,1
332,1
32,0
31,1
235,1
374,1
397,1
408,0
685,0
418,1
389,1
729,0
550,0
265,1
14,1
94,1
528,0
391,1
78,1
603,0
387,1
183,1
449,0
380,0
491,0
190,0
754,1
621,0
364,1
135,1
245,0
274,0
147,0
105,0
294,1
324,1
539,0
691,0
676,0
110,0
5,1
144,0
103,0
210,1
446,1
41,1
362,0
649,0
377,1
254,0
146,1
637,0
86,1
542,1
431,0
65,1
715,0
205,1
44,1
27,0
80,0
437,0
113,1
204,1
519,1
720,0
670,0
624,0
411,1
743,0
740,0
8,1
73,0
400,1
118,1
701,0
206,0
