,algae_conc,order,stratification,type,reservoir,do,temp,temp_diff,precip,daylight
0,3,0,1,1,0,4,0,2,3,4
1,1,0,1,1,0,1,4,3,1,2
2,0,0,1,1,0,2,3,2,1,3
3,2,0,1,1,0,4,0,2,4,4
4,0,0,1,1,0,4,1,3,3,4
5,1,0,1,1,0,3,3,3,2,3
6,0,0,1,1,0,3,2,0,2,2
7,1,0,1,1,0,1,1,1,2,0
8,4,0,1,1,0,0,2,0,0,0
9,4,0,1,1,0,4,1,2,2,4
10,4,0,1,1,0,0,2,1,4,0
11,3,1,1,1,0,4,0,2,3,4
12,2,1,1,1,0,1,4,3,1,2
13,0,1,1,1,0,0,4,3,1,2
14,0,1,1,1,0,2,3,2,1,3
15,1,1,1,1,0,2,4,3,1,3
16,0,1,1,1,0,3,2,2,3,2
17,0,1,1,1,0,1,2,2,4,2
18,0,1,1,1,0,4,4,3,2,3
19,0,1,1,1,0,4,0,2,4,4
20,0,1,1,1,0,3,2,2,4,3
21,1,1,1,1,0,3,2,2,3,2
22,0,1,1,1,0,4,1,3,4,4
23,1,1,1,1,0,1,1,1,1,1
24,2,1,1,1,0,1,4,2,2,1
25,0,1,1,1,0,3,3,3,2,3
26,2,1,1,1,0,3,2,0,0,0
27,2,1,1,1,0,3,1,0,0,0
28,2,1,1,1,0,3,2,0,2,2
29,1,1,1,1,0,1,1,1,2,0
30,3,1,1,1,0,0,2,0,0,0
31,3,1,1,1,0,4,1,2,2,4
32,4,1,1,1,0,0,2,1,4,0
33,2,2,1,1,0,4,0,2,3,4
34,2,2,1,1,0,1,4,3,1,2
35,0,2,1,1,0,2,3,2,1,3
36,0,2,1,1,0,4,4,3,2,3
37,0,2,1,1,0,3,2,2,3,2
38,1,2,1,1,0,1,1,1,2,0
39,1,4,1,1,0,1,4,3,1,2
40,0,4,1,1,0,0,4,3,1,2
41,0,4,1,1,0,2,4,3,1,3
42,1,4,1,1,0,3,2,2,3,2
43,0,4,1,1,0,1,2,2,4,2
44,0,4,1,1,0,4,4,3,2,3
45,1,4,1,1,0,4,0,2,4,4
46,0,4,1,1,0,3,2,2,4,3
47,0,4,1,1,0,3,2,2,3,2
48,0,4,1,1,0,4,1,3,4,4
49,1,4,1,1,0,1,1,1,1,1
50,2,4,1,1,0,1,4,2,2,1
51,0,4,1,1,0,4,1,3,3,4
52,1,4,1,1,0,3,3,3,2,3
53,2,4,1,1,0,3,2,0,0,0
54,3,4,1,1,0,3,1,0,0,0
55,2,4,1,1,0,3,2,0,2,2
56,4,4,1,1,0,1,1,1,2,0
57,4,4,1,1,0,0,2,0,0,0
58,4,4,1,1,0,4,1,2,2,4
59,4,4,1,1,0,0,2,1,4,0
60,0,5,1,1,0,2,3,2,1,3
61,1,5,1,1,0,2,4,3,1,3
62,2,5,1,1,0,3,2,2,3,2
63,0,5,1,1,0,1,2,2,4,2
64,0,5,1,1,0,4,4,3,2,3
65,0,5,1,1,0,4,0,2,4,4
66,0,5,1,1,0,4,1,3,4,4
67,0,5,1,1,0,1,1,1,1,1
68,1,5,1,1,0,1,4,2,2,1
