,reservoir,order,yearmonth,density_cells/ml,m_avg_deep_temp,m_avg_surf_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,temp_diff
0,BHR,Chroococcales,199206,1630.4347826087,18.641379310344828,23.7625,6.041379310344827,20.540000000000003,3.5799999999999996,52903.894,Forest,Strong,37.3386,-83.4707,5.1211206896551715
1,BHR,Chroococcales,199307,111.42857142857143,21.70357142857143,30.925,0.8857142857142858,27.074193548387097,2.2838709677419353,51969.05354838709,Forest,Strong,37.3386,-83.4707,9.221428571428572
2,BHR,Chroococcales,199807,3.29568023833168,21.683333333333334,28.583333333333332,1.2625,24.312903225806455,2.032258064516129,51984.23870967742,Forest,Strong,37.3386,-83.4707,6.899999999999999
3,BHR,Chroococcales,200306,215.295238095,18.387096774193548,23.9375,5.861290322580645,20.513333333333332,5.406666666666667,52892.53633333334,Forest,Strong,37.3386,-83.4707,5.550403225806452
4,BHR,Chroococcales,200606,3.3906666666666667,17.814285714285713,25.675,5.021428571428571,21.473333333333336,3.69,52897.074,Forest,Strong,37.3386,-83.4707,7.8607142857142875
5,BHR,Chroococcales,200607,76.6305,20.975,28.900000000000002,1.5150000000000001,24.906451612903226,2.7516129032258063,51981.18516129032,Forest,Strong,37.3386,-83.4707,7.925000000000001
6,BHR,Chroococcales,201407,19.351869999031013,25.17142857142857,27.4,2.5100000000000002,23.480645161290322,3.129032258064516,51974.227419354844,Forest,Strong,37.3386,-83.4707,2.2285714285714278
7,BHR,Chroococcales,201509,91.15353893954747,23.253333333333334,26.85,0.662,21.923333333333336,3.103333333333333,44707.435000000005,Forest,Strong,37.3386,-83.4707,3.5966666666666676
8,BHR,Chroococcales,201609,9608.905592916246,24.245454545454546,26.78333333333333,0.3645454545454545,23.44333333333333,1.32,44599.88933333333,Forest,Strong,37.3386,-83.4707,2.5378787878787854
9,BHR,Chroococcales,201706,22356.813555253368,20.5255,26.073333333333334,2.956,21.740000000000002,2.96,52899.58866666666,Forest,Strong,37.3386,-83.4707,5.547833333333333
10,BHR,Chroococcales,201809,136138.12205140712,24.46,27.8975,0.40384615384615385,23.41,5.2266666666666675,44670.168,Forest,Strong,37.3386,-83.4707,3.4375
11,BHR,Nostocales,199206,996.376811594203,18.641379310344828,23.7625,6.041379310344827,20.540000000000003,3.5799999999999996,52903.894,Forest,Strong,37.3386,-83.4707,5.1211206896551715
12,BHR,Nostocales,199307,657.1875,21.70357142857143,30.925,0.8857142857142858,27.074193548387097,2.2838709677419353,51969.05354838709,Forest,Strong,37.3386,-83.4707,9.221428571428572
13,BHR,Nostocales,199508,21.960297766999997,21.743243243243242,29.439999999999998,0.1972972972972973,26.361290322580647,2.0483870967741935,48843.97709677419,Forest,Strong,37.3386,-83.4707,7.696756756756756
14,BHR,Nostocales,199807,6.04208043694141,21.683333333333334,28.583333333333332,1.2625,24.312903225806455,2.032258064516129,51984.23870967742,Forest,Strong,37.3386,-83.4707,6.899999999999999
15,BHR,Nostocales,199907,65.16322081812844,20.445454545454545,29.099999999999998,1.2045454545454546,26.17096774193548,1.8064516129032258,52002.65838709677,Forest,Strong,37.3386,-83.4707,8.654545454545453
16,BHR,Nostocales,200007,15.558714285714286,21.707692307692305,27.349999999999998,1.6076923076923075,23.18064516129032,3.325806451612903,51946.93967741935,Forest,Strong,37.3386,-83.4707,5.642307692307693
17,BHR,Nostocales,200107,2.2564,21.35217391304348,27.150000000000002,0.8043478260869565,23.993548387096773,4.829032258064516,51964.4935483871,Forest,Strong,37.3386,-83.4707,5.797826086956523
18,BHR,Nostocales,200207,8.825285714285714,19.14814814814815,28.6,2.8074074074074074,25.34193548387097,2.5580645161290323,51983.528387096776,Forest,Strong,37.3386,-83.4707,9.451851851851853
19,BHR,Nostocales,200306,9.071000000000002,18.387096774193548,23.9375,5.861290322580645,20.513333333333332,5.406666666666667,52892.53633333334,Forest,Strong,37.3386,-83.4707,5.550403225806452
20,BHR,Nostocales,200307,3.9288129574285717,21.184615384615384,27.275,2.0923076923076924,23.358064516129033,4.354838709677419,52001.51483870968,Forest,Strong,37.3386,-83.4707,6.090384615384615
21,BHR,Nostocales,200308,33.950819143714284,21.942857142857143,28.316666666666666,1.9142857142857144,23.661290322580644,3.4322580645161294,48836.923548387094,Forest,Strong,37.3386,-83.4707,6.373809523809523
22,BHR,Nostocales,200406,19.893642653333334,18.666666666666668,27.066666666666666,5.213333333333334,21.976666666666667,4.14,52905.48166666667,Forest,Strong,37.3386,-83.4707,8.399999999999999
23,BHR,Nostocales,200408,63.0036743981579,22.41,27.15,0.8099999999999999,22.26774193548387,1.8838709677419354,48743.86580645161,Forest,Strong,37.3386,-83.4707,4.739999999999998
24,BHR,Nostocales,200508,170.01909090909092,24.092857142857145,29.1625,0.5428571428571428,25.996774193548386,2.8774193548387097,48774.50064516129,Forest,Strong,37.3386,-83.4707,5.069642857142856
25,BHR,Nostocales,200607,7.241,20.975,28.900000000000002,1.5150000000000001,24.906451612903226,2.7516129032258063,51981.18516129032,Forest,Strong,37.3386,-83.4707,7.925000000000001
26,BHR,Nostocales,200709,206.51767102405975,23.407142857142855,25.925,2.0214285714285714,23.58,1.4100000000000001,44716.933666666664,Forest,Strong,37.3386,-83.4707,2.517857142857146
