,reservoir,yearmonth,m_avg_surf_temp,m_avg_deep_temp,m_avg_dissolved_oxygen,density_cells/ml,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,alg_bloom
0,BHR,198905,18.66,12.935897435897436,8.492307692307692,0.0,15.983870967741936,4.054838709677419,51084.427741935484,Forest,Strong,37.3386,-83.4707,no bloom
1,BHR,198906,24.7875,16.744999999999997,7.085000000000001,0.0,21.86,6.02,52900.719333333334,Forest,Strong,37.3386,-83.4707,no bloom
2,BHR,198907,27.1,20.720689655172414,3.7517241379310344,0.0,23.796774193548387,5.0,51972.88161290323,Forest,Strong,37.3386,-83.4707,no bloom
3,BHR,198908,26.839999999999996,22.32972972972973,0.7999999999999999,0.0,23.106451612903225,3.6193548387096777,48790.63838709678,Forest,Strong,37.3386,-83.4707,no bloom
4,BHR,198909,24.314285714285713,22.703333333333333,1.96,0.0,19.916666666666668,5.473333333333333,44665.05733333333,Forest,Strong,37.3386,-83.4707,no bloom
5,BHR,198910,16.475,15.079310344827586,7.248275862068965,0.0,14.219354838709679,3.306451612903226,40371.69774193548,Forest,Strong,37.3386,-83.4707,no bloom
6,BHR,199005,20.25,14.602857142857143,7.542857142857143,0.0,17.141935483870967,5.306451612903226,51062.050322580646,Forest,Strong,37.3386,-83.4707,no bloom
7,BHR,199006,24.5,17.59333333333333,4.303333333333333,0.0,22.753333333333334,2.3699999999999997,52895.746999999996,Forest,Strong,37.3386,-83.4707,no bloom
8,BHR,199007,27.869999999999997,20.967567567567567,2.2270270270270274,0.0,24.32903225806452,5.716129032258064,51990.06,Forest,Strong,37.3386,-83.4707,no bloom
9,BHR,199008,26.9375,21.96896551724138,1.1172413793103448,0.0,23.67096774193548,3.412903225806452,48819.581612903225,Forest,Strong,37.3386,-83.4707,no bloom
10,BHR,199009,25.0875,21.634375,1.3031249999999999,0.0,20.973333333333336,3.0433333333333334,44698.92766666667,Forest,Strong,37.3386,-83.4707,no bloom
11,BHR,199010,18.98,18.225,4.678125,0.0,15.019354838709678,4.280645161290322,40403.608064516135,Forest,Strong,37.3386,-83.4707,no bloom
12,BHR,199105,24.400000000000002,16.286363636363635,1.7813953488372092,0.0,20.9741935483871,4.245161290322581,51037.52290322581,Forest,Strong,37.3386,-83.4707,no bloom
13,BHR,199106,26.5,20.942307692307693,3.792307692307692,0.0,22.720000000000002,2.533333333333333,52891.12333333333,Forest,Strong,37.3386,-83.4707,no bloom
14,BHR,199107,28.4,23.57241379310345,3.179310344827586,0.0,25.238709677419354,2.670967741935484,52008.43258064516,Forest,Strong,37.3386,-83.4707,no bloom
15,BHR,199108,27.5375,25.348148148148148,0.5481481481481482,0.0,23.835483870967742,3.141935483870968,48848.430645161294,Forest,Strong,37.3386,-83.4707,no bloom
16,BHR,199109,26.75,24.83448275862069,0.8103448275862069,0.0,20.709999999999997,3.48,44734.75866666667,Forest,Strong,37.3386,-83.4707,no bloom
17,BHR,199110,19.3625,19.630000000000003,5.385,0.0,15.925806451612903,0.7451612903225807,40435.54516129032,Forest,Strong,37.3386,-83.4707,no bloom
