,reservoir,yearmonth,m_avg_surf_temp,m_avg_deep_temp,m_avg_dissolved_oxygen,density_cells/ml,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,alg_bloom,alg_bloom_num,temp_diff,type_enc,strat_enc,do_cat
0,BHR,198905,18.66,12.935897435897436,8.492307692307692,0.0,15.983870967741936,4.054838709677419,51084.42774193549,Forest,Strong,37.3386,-83.4707,no bloom,0,5.724102564102564,1,0,1
1,BHR,198906,24.7875,16.744999999999997,7.085000000000001,0.0,21.86,6.02,52900.71933333333,Forest,Strong,37.3386,-83.4707,no bloom,0,8.042500000000004,1,0,1
2,BHR,198907,27.1,20.72068965517241,3.7517241379310335,0.0,23.796774193548387,5.0,51972.88161290323,Forest,Strong,37.3386,-83.4707,no bloom,0,6.379310344827587,1,0,1
3,BHR,198908,26.84,22.32972972972973,0.7999999999999999,0.0,23.106451612903225,3.6193548387096777,48790.63838709678,Forest,Strong,37.3386,-83.4707,no bloom,0,4.510270270270265,1,0,0
4,BHR,198909,24.314285714285717,22.703333333333333,1.96,0.0,19.916666666666668,5.473333333333333,44665.05733333333,Forest,Strong,37.3386,-83.4707,no bloom,0,1.61095238095238,1,0,1
5,BHR,198910,16.475,15.079310344827586,7.248275862068965,0.0,14.21935483870968,3.306451612903226,40371.69774193548,Forest,Strong,37.3386,-83.4707,no bloom,0,1.395689655172415,1,0,1
6,BHR,199005,20.25,14.602857142857143,7.542857142857143,0.0,17.141935483870967,5.306451612903226,51062.050322580646,Forest,Strong,37.3386,-83.4707,no bloom,0,5.647142857142857,1,0,1
7,BHR,199006,24.5,17.59333333333333,4.303333333333333,0.0,22.75333333333333,2.37,52895.747,Forest,Strong,37.3386,-83.4707,no bloom,0,6.90666666666667,1,0,1
8,BHR,199007,27.87,20.967567567567567,2.227027027027028,0.0,24.32903225806452,5.716129032258064,51990.06,Forest,Strong,37.3386,-83.4707,no bloom,0,6.90243243243243,1,0,1
9,BHR,199008,26.9375,21.96896551724138,1.1172413793103448,0.0,23.67096774193548,3.412903225806452,48819.581612903225,Forest,Strong,37.3386,-83.4707,no bloom,0,4.968534482758621,1,0,0
10,BHR,199009,25.0875,21.634375,1.303125,0.0,20.973333333333336,3.043333333333333,44698.92766666667,Forest,Strong,37.3386,-83.4707,no bloom,0,3.453125,1,0,0
11,BHR,199010,18.98,18.225,4.678125,0.0,15.019354838709678,4.280645161290322,40403.608064516135,Forest,Strong,37.3386,-83.4707,no bloom,0,0.754999999999999,1,0,1
