,order,stratification,type,reservoir,do,temp,temp_diff,precip,daylight
553,5,2,0,3,2,0,3,2,0
16,1,1,1,0,3,2,2,3,2
268,1,0,0,2,2,1,0,1,3
552,5,2,0,3,1,4,4,2,2
569,5,2,0,3,1,0,3,4,0
474,1,2,0,3,1,4,4,3,1
249,0,0,0,2,4,1,0,3,3
29,1,1,1,0,1,1,1,2,0
152,3,1,0,1,1,4,4,3,1
578,5,0,2,4,0,1,0,1,0
310,2,0,0,2,4,1,1,2,4
465,1,2,0,3,0,2,3,1,0
188,4,1,0,1,2,1,1,2,0
519,4,2,0,3,2,0,3,2,0
446,1,2,0,3,0,4,4,1,2
424,0,2,0,3,3,2,4,2,4
356,4,0,0,2,4,0,2,2,4
205,5,1,0,1,2,4,4,1,2
339,4,0,0,2,4,0,1,0,2
558,5,2,0,3,0,3,4,1,3
353,4,0,0,2,4,0,0,2,4
287,1,0,0,2,2,3,0,4,2
341,4,0,0,2,4,0,1,3,4
576,4,0,2,4,0,1,0,1,0
301,2,0,0,2,4,0,1,0,2
489,2,2,0,3,0,4,4,1,2
415,0,2,0,3,0,4,4,0,2
409,5,0,0,2,0,1,2,4,3
362,4,0,0,2,4,0,0,2,4
124,1,1,0,1,0,3,3,3,2
118,1,1,0,1,3,4,4,1,1
231,0,0,0,2,4,0,1,0,2
368,4,0,0,2,4,0,1,1,0
374,4,0,0,2,0,1,0,0,2
128,1,1,0,1,2,3,4,0,3
228,5,1,0,1,0,3,2,3,1
202,5,1,0,1,1,4,3,3,2
39,4,1,1,0,1,4,3,1,2
482,2,2,0,3,0,1,2,2,1
428,0,2,0,3,0,3,4,1,3
502,4,2,0,3,0,3,3,4,2
523,4,2,0,3,0,1,2,3,4
520,4,2,0,3,3,1,4,1,4
365,4,0,0,2,4,0,0,1,4
293,1,0,0,2,0,0,1,0,1
62,5,1,1,0,3,2,2,3,2
121,1,1,0,1,1,3,3,2,2
64,5,1,1,0,4,4,3,2,3
199,4,1,0,1,1,0,1,4,0
306,2,0,0,2,4,2,2,1,4
453,1,2,0,3,3,2,4,2,4
364,4,0,0,2,4,1,0,3,2
140,2,1,0,1,2,1,1,2,1
348,4,0,0,2,2,1,0,1,3
92,0,1,0,1,0,4,3,0,1
206,5,1,0,1,2,4,3,0,1
159,4,1,0,1,3,0,0,4,0
450,1,2,0,3,4,3,4,4,4
340,4,0,0,2,4,0,0,0,0
107,1,1,0,1,2,3,1,0,0
226,5,1,0,1,1,4,4,0,2
180,4,1,0,1,3,4,4,1,1
122,1,1,0,1,2,3,2,3,1
24,1,1,1,0,1,4,2,2,1
383,5,0,0,2,4,1,0,0,1
41,4,1,1,0,2,4,3,1,3
289,1,0,0,2,0,2,1,2,3
73,0,1,0,1,2,1,1,2,1
401,5,0,0,2,4,0,1,1,0
397,5,0,0,2,4,1,0,3,2
426,0,2,0,3,2,0,3,2,0
332,3,0,0,2,3,1,1,4,3
75,0,1,0,1,3,2,4,2,3
527,4,2,0,3,0,3,3,3,2
166,4,1,0,1,3,0,1,3,0
90,0,1,0,1,2,1,1,2,0
50,4,1,1,0,1,4,2,2,1
568,5,2,0,3,2,2,2,2,0
130,1,1,0,1,1,4,4,0,2
66,5,1,1,0,4,1,3,4,4
387,5,0,0,2,4,0,0,2,4
143,2,1,0,1,1,2,3,3,3
170,4,1,0,1,3,3,4,4,3
380,4,0,0,2,3,0,1,4,0
445,1,2,0,3,0,4,4,4,3
430,0,2,0,3,0,3,3,3,2
272,1,0,0,2,4,0,0,0,1
123,1,1,0,1,0,2,3,1,3
137,1,1,0,1,1,0,1,4,0
395,5,0,0,2,4,0,0,2,4
441,0,2,0,3,1,3,2,2,1
43,4,1,1,0,1,2,2,4,2
396,5,0,0,2,4,1,0,4,3
234,0,0,0,2,3,3,0,2,3
522,4,2,0,3,1,0,4,0,0
554,5,2,0,3,3,1,4,1,4
307,2,0,0,2,4,3,1,4,2
127,1,1,0,1,1,2,2,0,0
518,4,2,0,3,1,4,4,2,2
485,2,2,0,3,0,4,4,0,2
177,4,1,0,1,1,3,4,2,1
361,4,0,0,2,4,3,0,0,2
294,1,0,0,2,0,1,1,3,3
326,2,0,0,2,0,1,1,3,3
498,2,2,0,3,1,4,4,3,1
477,1,2,0,3,3,2,1,2,0
144,2,1,0,1,1,4,3,2,2
220,5,1,0,1,0,3,3,3,2
528,4,2,0,3,0,2,2,2,1
120,1,1,0,1,2,1,2,4,3
63,5,1,1,0,1,2,2,4,2
512,4,2,0,3,1,4,3,0,1
157,4,1,0,1,1,4,2,4,2
34,2,1,1,0,1,4,3,1,2
176,4,1,0,1,3,2,4,2,3
131,1,1,0,1,0,4,3,0,1
263,0,0,0,2,3,0,1,4,0
106,1,1,0,1,1,4,3,3,2
26,1,1,1,0,3,2,0,0,0
125,1,1,0,1,1,2,1,2,1
572,0,0,2,4,0,1,0,1,0
399,5,0,0,2,4,1,0,3,3
23,1,1,1,0,1,1,1,1,1
478,1,2,0,3,1,2,1,0,0
381,5,0,0,2,4,0,0,4,4
504,4,2,0,3,0,0,1,4,0
444,1,2,0,3,1,2,3,3,4
575,1,0,2,4,3,1,0,4,4
252,0,0,0,2,2,3,0,4,2
475,1,2,0,3,0,3,4,4,4
142,2,1,0,1,2,4,3,3,1
