,algae_conc
553,0
16,0
268,4
552,0
569,3
474,4
249,2
29,1
152,2
578,3
310,0
465,2
188,3
519,1
446,1
424,0
356,0
205,3
339,1
558,2
353,2
287,4
341,3
576,4
301,1
489,0
415,3
409,3
362,3
124,3
118,3
231,1
368,2
374,4
128,0
228,4
202,3
39,1
482,3
428,2
502,2
523,2
520,0
365,2
293,4
62,2
121,2
64,0
199,4
306,1
453,0
364,3
140,2
348,1
92,3
206,2
159,2
450,0
340,0
107,0
226,4
180,2
122,3
24,2
383,3
41,0
289,3
73,2
401,3
397,4
426,0
332,3
75,2
527,2
166,3
90,3
50,2
568,1
130,3
66,0
387,4
143,2
170,1
380,4
445,1
430,1
272,3
123,1
137,4
395,3
441,4
43,0
396,1
234,3
522,1
554,0
307,0
127,3
518,0
485,2
177,1
361,2
294,4
326,4
498,3
477,4
144,0
220,3
528,1
120,1
63,0
512,1
157,3
34,2
176,0
131,4
263,4
106,3
26,2
125,3
572,4
399,3
23,1
478,4
381,4
504,1
444,2
575,4
252,3
475,4
142,3
421,0
8,4
323,4
367,2
51,0
99,2
466,1
18,0
141,3
254,2
4,0
246,0
290,4
31,3
317,1
279,3
440,4
47,0
303,3
77,2
425,0
516,1
439,4
288,1
429,1
315,1
88,2
525,2
411,2
68,1
346,1
53,2
38,1
280,1
571,4
463,3
213,3
427,0
114,0
392,1
496,2
514,1
302,1
468,0
117,1
517,1
22,0
191,1
408,4
487,2
32,4
181,3
30,3
461,1
319,1
386,4
133,3
224,4
36,0
350,1
407,4
242,1
378,4
10,4
164,1
209,2
538,4
232,1
349,3
174,2
13,0
189,3
292,4
55,2
129,3
185,2
499,2
476,4
136,4
238,0
535,3
98,4
322,2
19,0
286,3
221,3
217,3
145,1
456,0
524,2
562,2
243,1
464,2
65,0
261,4
404,4
271,3
171,1
423,0
398,3
233,3
147,4
318,1
469,3
472,3
264,0
72,3
296,4
454,0
276,0
376,4
45,1
172,1
33,2
567,2
15,1
70,2
273,1
158,2
295,4
359,1
437,2
17,0
551,0
178,2
162,1
113,1
95,3
96,4
330,4
218,3
194,3
455,1
506,2
422,0
223,3
479,4
382,3
544,4
192,2
93,2
108,0
299,1
216,2
370,4
403,3
219,3
260,4
235,4
282,2
505,1
284,2
495,0
132,4
79,0
345,1
484,3
462,2
312,1
573,4
467,1
154,3
328,4
211,0
76,3
138,4
46,0
420,0
433,2
549,0
54,3
115,1
327,4
163,1
196,4
436,2
492,0
248,2
574,4
494,0
2,0
28,2
155,3
187,2
9,4
325,4
406,4
541,4
153,3
452,0
97,4
239,0
102,2
184,3
438,2
57,4
215,1
515,0
451,0
336,4
148,2
165,1
112,3
256,4
529,2
536,3
559,3
486,2
91,2
503,2
493,0
160,0
501,3
179,3
197,4
105,0
413,2
481,3
237,0
542,4
183,4
182,2
355,2
84,0
58,4
458,1
156,4
198,4
543,4
60,0
175,1
309,0
540,4
371,3
245,1
203,4
300,2
491,0
480,4
225,4
25,0
335,3
539,4
110,1
414,3
134,4
208,3
470,3
146,1
352,3
447,0
119,3
417,1
419,0
100,1
291,4
89,1
82,1
269,3
204,2
104,3
373,4
384,4
74,1
459,0
418,0
473,4
49,1
278,1
432,1
259,3
241,0
253,2
390,0
