,do,temp_diff,stratification
553,2,3,2
16,3,2,1
268,2,0,0
552,1,4,2
569,1,3,2
474,1,4,2
249,4,0,0
29,1,1,1
152,1,4,1
578,0,0,0
310,4,1,0
465,0,3,2
188,2,1,1
519,2,3,2
446,0,4,2
424,3,4,2
356,4,2,0
205,2,4,1
339,4,1,0
558,0,4,2
353,4,0,0
287,2,0,0
341,4,1,0
576,0,0,0
301,4,1,0
489,0,4,2
415,0,4,2
409,0,2,0
362,4,0,0
124,0,3,1
118,3,4,1
231,4,1,0
368,4,1,0
374,0,0,0
128,2,4,1
228,0,2,1
202,1,3,1
39,1,3,1
482,0,2,2
428,0,4,2
502,0,3,2
523,0,2,2
520,3,4,2
365,4,0,0
293,0,1,0
62,3,2,1
121,1,3,1
64,4,3,1
199,1,1,1
306,4,2,0
453,3,4,2
364,4,0,0
140,2,1,1
348,2,0,0
92,0,3,1
206,2,3,1
159,3,0,1
450,4,4,2
340,4,0,0
107,2,1,1
226,1,4,1
180,3,4,1
122,2,2,1
24,1,2,1
383,4,0,0
41,2,3,1
289,0,1,0
73,2,1,1
401,4,1,0
397,4,0,0
426,2,3,2
332,3,1,0
75,3,4,1
527,0,3,2
166,3,1,1
90,2,1,1
50,1,2,1
568,2,2,2
130,1,4,1
66,4,3,1
387,4,0,0
143,1,3,1
170,3,4,1
380,3,1,0
445,0,4,2
430,0,3,2
272,4,0,0
123,0,3,1
137,1,1,1
395,4,0,0
441,1,2,2
43,1,2,1
396,4,0,0
234,3,0,0
522,1,4,2
554,3,4,2
307,4,1,0
127,1,2,1
518,1,4,2
485,0,4,2
177,1,4,1
361,4,0,0
294,0,1,0
326,0,1,0
498,1,4,2
477,3,1,2
144,1,3,1
220,0,3,1
528,0,2,2
120,2,2,1
63,1,2,1
512,1,3,2
157,1,2,1
34,1,3,1
176,3,4,1
131,0,3,1
263,3,1,0
106,1,3,1
26,3,0,1
125,1,1,1
572,0,0,0
399,4,0,0
23,1,1,1
478,1,1,2
381,4,0,0
504,0,1,2
444,1,3,2
575,3,0,0
252,2,0,0
475,0,4,2
142,2,3,1
421,2,2,2
8,0,0,1
323,1,0,0
367,4,0,0
51,4,3,1
99,3,4,1
466,2,3,2
18,4,3,1
141,3,0,1
254,0,1,0
4,4,3,1
246,3,0,0
290,3,0,0
31,4,2,1
317,4,0,0
279,4,0,0
440,1,2,2
47,3,2,1
303,4,1,0
77,2,3,1
425,1,4,2
516,2,4,2
439,1,1,2
288,1,2,0
429,2,3,2
315,4,0,0
88,2,2,1
525,0,4,2
411,0,3,2
68,1,2,1
346,4,0,0
53,3,0,1
38,1,1,1
280,4,0,0
571,1,2,2
463,0,3,2
213,3,4,1
427,3,4,2
114,3,4,1
392,4,1,0
496,2,3,2
514,4,4,2
302,4,0,0
468,3,4,2
117,3,4,1
517,3,4,2
22,4,3,1
191,1,4,1
408,3,2,0
487,1,3,2
32,0,1,1
181,3,3,1
30,0,0,1
461,0,4,2
319,2,0,0
386,4,0,0
133,0,4,1
224,2,4,1
36,4,3,1
350,4,1,0
407,2,0,0
242,4,0,0
378,3,2,0
10,0,1,1
164,1,3,1
209,3,1,1
538,1,4,2
232,4,0,0
349,4,0,0
174,2,2,1
13,0,3,1
189,1,2,1
292,0,0,0
55,3,0,1
129,1,4,1
185,0,3,1
499,0,1,2
476,0,1,2
136,1,1,1
238,4,0,0
535,0,4,2
98,0,2,1
322,3,0,0
19,4,2,1
286,4,1,0
221,1,1,1
217,1,3,1
145,2,3,1
456,3,4,2
524,0,4,2
562,0,2,2
243,3,0,0
464,0,2,2
65,4,2,1
261,3,2,0
404,0,1,0
271,3,1,0
171,2,4,1
423,2,4,2
398,4,0,0
233,4,1,0
147,1,4,1
318,4,1,0
469,2,3,2
472,1,3,2
264,4,2,0
72,1,2,1
296,3,2,0
454,1,4,2
276,4,2,0
376,0,1,0
45,4,2,1
172,2,3,1
33,4,2,1
567,2,3,2
15,2,3,1
70,3,0,1
273,4,0,0
158,2,1,1
295,2,0,0
359,4,1,0
437,0,1,2
17,1,2,1
551,3,4,2
178,2,3,1
162,2,3,1
113,3,1,1
95,1,1,1
96,1,1,1
330,3,1,0
218,2,2,1
194,1,4,1
455,2,3,2
506,0,4,2
422,2,4,2
223,1,2,1
479,1,2,2
382,2,0,0
544,1,2,2
192,1,4,1
93,1,4,1
108,3,4,1
299,3,2,0
216,2,2,1
370,1,2,0
403,1,2,0
219,0,3,1
260,2,0,0
235,2,1,0
282,4,0,0
505,2,4,2
284,4,0,0
495,0,4,2
132,1,4,1
79,2,3,1
345,4,1,0
484,2,4,2
462,2,3,2
312,4,0,0
573,3,0,0
467,0,4,2
154,1,1,1
328,3,2,0
211,1,4,1
76,3,4,1
138,0,2,1
46,3,2,1
420,1,3,2
433,2,2,2
549,2,4,2
54,3,0,1
115,1,4,1
327,2,0,0
163,1,3,1
196,0,2,1
436,1,4,2
492,0,2,2
248,4,0,0
574,0,0,0
494,0,3,2
2,2,2,1
28,3,0,1
155,1,1,1
187,1,1,1
9,4,2,1
325,0,1,0
406,1,0,0
541,3,1,2
153,0,2,1
452,2,4,2
97,1,1,1
239,4,0,0
102,1,3,1
