,alg_bloom_num
553,0
533,0
761,0
737,0
613,0
634,0
155,0
278,0
453,0
356,0
703,0
200,0
66,0
545,1
529,1
406,0
12,0
161,0
258,0
597,1
524,0
538,0
526,1
159,0
386,1
318,0
434,0
229,0
531,0
263,0
673,0
698,0
588,0
678,0
15,0
245,1
428,0
6,0
466,0
483,0
104,0
619,0
400,0
427,0
90,1
604,0
399,1
327,1
218,1
563,1
362,0
205,0
670,0
190,1
500,0
407,1
194,0
481,1
132,1
233,1
173,0
178,0
739,1
577,1
206,1
590,0
96,0
655,1
331,0
693,1
89,0
532,1
179,1
0,0
46,0
171,0
609,0
375,1
107,0
133,0
447,0
223,0
452,0
102,1
108,0
213,1
747,0
520,1
246,0
503,0
418,0
125,0
451,0
694,0
620,0
618,0
224,1
26,1
358,0
458,0
535,1
344,0
3,0
134,1
325,0
759,0
186,0
489,0
295,0
688,0
425,0
602,0
687,1
225,0
626,0
330,0
441,0
332,1
367,1
587,0
519,0
729,0
494,0
523,0
482,0
390,1
656,0
112,0
456,0
671,0
20,0
65,0
298,0
126,0
259,0
567,0
561,0
339,0
640,0
137,0
505,0
7,0
342,0
700,1
309,0
635,0
530,0
185,0
521,1
353,0
457,1
153,0
54,0
30,0
422,0
680,0
100,0
497,1
762,0
722,0
237,1
663,1
56,0
60,0
499,0
262,0
432,0
264,0
710,1
474,0
208,0
391,1
752,0
726,0
167,0
38,0
573,0
658,0
625,0
300,0
601,0
492,0
648,0
163,0
124,0
154,0
336,0
59,0
490,0
304,1
724,0
755,0
343,0
699,0
311,0
471,0
158,0
51,0
548,0
682,1
628,0
361,1
454,1
485,1
219,0
664,1
308,0
74,0
282,1
763,1
348,0
517,1
4,0
614,1
437,1
631,0
484,1
672,0
5,0
141,0
556,0
135,0
513,0
378,1
683,0
22,0
690,0
276,0
284,1
270,0
426,0
730,0
281,0
420,0
220,1
691,0
320,0
439,1
372,1
120,0
81,0
749,0
13,0
478,0
455,1
740,1
732,0
160,0
745,0
238,1
379,1
720,0
536,0
440,0
748,0
569,1
195,0
191,1
116,0
582,0
627,0
164,0
106,0
16,0
63,0
470,0
384,1
706,0
105,0
540,0
491,0
717,0
329,1
475,0
480,1
498,1
345,1
666,0
405,0
568,0
93,0
651,0
433,0
83,0
645,0
592,1
414,1
557,0
578,0
728,0
322,0
357,0
69,0
514,1
509,0
340,0
221,1
711,0
146,0
289,0
29,0
114,0
508,0
616,0
176,1
168,0
347,1
376,0
579,0
667,0
652,0
585,0
189,1
136,0
446,0
642,0
254,1
674,0
290,0
719,0
647,0
232,1
33,0
88,0
44,0
341,0
61,1
731,0
199,0
429,0
571,0
394,0
297,0
73,1
393,0
547,0
541,0
653,0
637,0
643,1
217,0
539,0
632,0
421,1
138,0
212,1
644,0
641,0
662,0
701,0
234,0
67,1
24,0
381,0
216,0
129,0
349,0
111,1
166,0
207,1
438,1
552,1
274,0
649,0
591,1
669,1
525,0
287,1
469,0
326,1
121,0
507,0
228,0
595,1
445,0
117,1
464,0
25,0
110,0
149,0
152,1
528,0
461,0
598,0
139,0
260,0
323,0
686,0
248,0
450,0
410,0
607,0
19,1
328,1
296,0
269,0
226,1
94,0
515,0
280,0
286,1
589,1
712,0
444,0
184,0
371,0
668,0
744,0
275,0
715,0
182,0
32,0
80,0
307,0
11,0
43,0
86,1
36,0
58,0
41,0
411,0
562,1
209,1
148,0
594,1
123,0
574,0
98,1
377,0
130,0
23,0
665,0
555,0
370,0
512,0
383,0
201,0
368,0
554,0
610,0
387,0
292,0
256,0
606,0
197,0
95,0
736,0
721,0
169,0
581,0
305,0
560,0
373,1
227,1
660,0
143,1
180,1
131,0
727,0
47,0
324,0
203,0
84,1
633,0
565,0
611,0
398,1
91,0
82,0
430,0
119,0
291,0
57,0
321,0
257,0
725,0
442,0
42,0
617,0
388,0
335,0
273,0
488,0
550,1
53,0
716,1
128,0
28,0
183,0
459,0
510,0
675,1
151,0
244,1
714,0
543,0
544,1
639,0
697,0
265,0
288,0
423,0
147,0
659,0
177,0
99,0
448,1
431,0
709,1
115,0
72,0
537,0
677,0
751,1
174,1
87,0
551,1
486,1
705,1
314,0
396,1
600,0
472,0
70,0
599,0
754,1
277,0
723,1
9,0
359,0
707,0
192,1
629,0
559,1
684,0
